,Unnamed: 0,ann_id,ann_file_id,ann_file,argQ_id,claim_id,claim_text,claim_label,claim_first_carach_pos,claim_last_carach_pos,relation_ids,relation_types,premise_ids,premise_labels,premise_first_carach_pos,premise_last_carach_pos,premise_texts,SPECIFIC,PERSUASIVE,STRONG,OBJECTIVE,TEMPORALHISTORY,global_arg_id,valid,nbr_ATTACK,nbr_SUPPORT,nbr_PREMISE_Fact,nbr_PREMISE_Hypothesis,nbr_PREMISE_Other,nbr_PREMISE_RealExample,nbr_PREMISE_Statistic,nbr_tokens_per_premises_list,nbr_sentences_per_premises_list,nbr_sentences_per_claim,nbr_tokens_per_claim,year,quarter,nbr_premises,company_name,nbr_sentences_per_argument,nbr_tokens_per_argument,sum_nbr_tokens_per_premises_list,sum_nbr_sentences_per_premises_list,nbr_CLAIM-Opinion(view),nbr_CLAIM-Fact,nbr_CLAIM-Value,nbr_CLAIM-Other,nbr_CLAIM-Policy
402,402,9,FB_Q1_2015_17197_9,FB_Q1_2015_17197,ArgQ0,Mm8KHdRZWc,"So, on LiveRail, we're pleased with the performance and the changes we've been able to make.",CLAIM-Opinion(view),703,795,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['7vM1uJoCN4', 'y5O6isqkt1']","['PREMISE-Fact', 'PREMISE-RealExample']","['796', '913']","['912', '976']","['Video is obviously super important so having the ability to do – work on video across the web has been really great.', 'And then at F8 we made two more announcements that I mentioned.']",2,1,1,0,-1,FB_Q1_2015_17197_ArgQ0,1.0,0,2,1,0,0,1,0,"[23, 13]","[1, 1]",1,21,2015,Q1,2,FB,3,57,36,2,1,0,0,0,0
403,403,9,FB_Q1_2015_17197_9,FB_Q1_2015_17197,ArgQ1,qIMYbnQ7SD,What we're hearing from publishers is that this is a good opportunity and they're pleased with the extensions we're making,CLAIM-Fact,977,1099,['R2'],['SUPPORT'],['0Zb3xF_83H'],['PREMISE-Fact'],['1100'],['1193'],['because it can make their ad serving and buying more efficient across the platforms they use.'],2,1,1,1,-1,FB_Q1_2015_17197_ArgQ1,1.0,0,1,1,0,0,0,0,[17],[1],1,23,2015,Q1,1,FB,2,40,17,1,0,1,0,0,0
404,404,9,FB_Q1_2015_17197_9,FB_Q1_2015_17197,ArgQ2,82CD8kL-kE,"In terms of areas for improvement, I think there's a lot we can do.",CLAIM-Opinion(view),1194,1261,"['R3', 'R4', 'R11']","['SUPPORT', 'SUPPORT', 'SUPPORT']","['SZoSXJpL2p', 'bLT1jpw1YO', 'jRNaw-_dax']","['PREMISE-RealExample', 'PREMISE-Fact', 'PREMISE-Fact']","['1262', '1380', '1594']","['1379', '1593', '1855']","['I think have you to look at our ad tech investments very holistically from Atlas to LiveRail to the Audience Network.', ""These are all different pieces of the ad tech but what they're all working on is taking the relevance and the ability to do people-based marketing and make that available to work on Facebook but also off Facebook."", 'We believe that because we can do marketing to people and then measure results across what people do in privacy-protective ways, we have an ability to improve the relevance of marketing which will make it better for consumers and increase returns for marketers.']",2,2,2,1,-1,FB_Q1_2015_17197_ArgQ2,1.0,0,3,2,0,0,1,0,"[22, 40, 45]","[1, 1, 1]",1,17,2015,Q1,3,FB,4,124,107,3,1,0,0,0,0
405,405,9,FB_Q1_2015_17197_9,FB_Q1_2015_17197,ArgQ3,dSlHozzHZy,"Just on the OpEx question, I think the key is that we're investing in our near, mid-term, and long-term priorities,",CLAIM-Opinion(view),1895,2010,"['R5', 'R6', 'R7']","['SUPPORT', 'SUPPORT', 'SUPPORT']","['7ytkixzUPW', 'Q8Ppifp6S0', 'hwpWxqSpxU']","['PREMISE-Fact', 'PREMISE-RealExample', 'PREMISE-RealExample']","['2011', '2176', '2348']","['2175', '2347', '2462']","[""so in the near-term we're investing to grow the community, execute on the existing business, both on the product side and then the advertising and sales force side."", ""And in the mid-term, we're building out those next-generation of services to be great businesses that reach their full potential, so that's Instagram, WhatsApp, Messenger."", ""And then in the long-term, we're investing in areas like the next-generation computing platform, internet.org, AI.""]",2,2,2,1,-1,FB_Q1_2015_17197_ArgQ3,1.0,0,3,1,0,0,2,0,"[32, 32, 21]","[1, 1, 1]",1,25,2015,Q1,3,FB,4,110,85,3,1,0,0,0,0
406,406,9,FB_Q1_2015_17197_9,FB_Q1_2015_17197,ArgQ4,mrhHo7CssJ,"In general, I would say our head count growth has skewed towards the R&D side",CLAIM-Fact,2463,2540,"['R8', 'R9', 'R10']","['SUPPORT', 'SUPPORT', 'ATTACK']","['NVcjAP0cTV', 'o0jD6q4wkO', 'FB9G6LxS3H']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Fact']","['2541', '2610', '2641']","['2609', '2640', '2679']","['because a lot of these initiatives have long-term development needs.', ""So we've been investing there."", 'But we are investing across the board.']",1,1,1,0,-1,FB_Q1_2015_17197_ArgQ4,1.0,1,2,3,0,0,0,0,"[11, 7, 8]","[1, 1, 1]",1,18,2015,Q1,3,FB,4,44,26,3,0,1,0,0,0
407,407,7,MSFT_Q4_2018_17921_7,MSFT_Q4_2018_17921,ArgQ0,NyUG15Oeqe,"Overall, we are very committed and very bullish about the opportunity in dynamics.",CLAIM-Opinion(view),621,703,['R0'],['SUPPORT'],['TzB3NDrd2A'],['PREMISE-RealExample'],['704'],['891'],"['With Dynamics 365 for example, what you even to see in this last fiscal year which has been the first full fiscal year where we have this modern, modular approach to business application.']",2,2,1,1,-1,MSFT_Q4_2018_17921_ArgQ0,1.0,0,1,0,0,0,1,0,[36],[1],1,15,2018,Q4,1,MSFT,2,51,36,1,1,0,0,0,0
408,408,7,MSFT_Q4_2018_17921_7,MSFT_Q4_2018_17921,ArgQ1,RjeaUzcQkA,I think it's very disruptive in the market place because it brings a very different value proposition.,CLAIM-Opinion(view),892,994,['R1'],['SUPPORT'],['jiv9dhgFUn'],['PREMISE-Fact'],['995'],['1058'],['It has a price advantage and the value advantage for customers.'],1,1,1,1,-1,MSFT_Q4_2018_17921_ArgQ1,1.0,0,1,1,0,0,0,0,[12],[1],1,19,2018,Q4,1,MSFT,2,31,12,1,1,0,0,0,0
409,409,7,MSFT_Q4_2018_17921_7,MSFT_Q4_2018_17921,ArgQ2,9hiPTdiV8O,"So in some sense, this one has always been about being able to serve customers especially in an increasing digitization work, right, which is the need for more business process automation is increasing.",CLAIM-Fact,1379,1581,['R2'],['SUPPORT'],['RetMV2rKqo'],['PREMISE-Fact'],['1582'],['1763'],"['Take an IoT project, translate into a preventive maintenance in Azure and then ends up as fields service and Dynamics, that’s been one pattern and we’ve seen a ton of traction with.']",1,1,1,1,-1,MSFT_Q4_2018_17921_ArgQ2,1.0,0,1,1,0,0,0,0,[39],[1],1,37,2018,Q4,1,MSFT,2,76,39,1,0,1,0,0,0
410,410,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ0,-cahDikcwR,"So, for the video tab, the goal that we have for the product experience is to make it so that when people want to watch videos or they want to keep up to date on what's going on with their favorite show or what's going on with the public figure that they want to follow, that they can come to Facebook and go to a place knowing that that's going to show them all the content that they're interested in.",CLAIM-Fact,844,1246,"['R0', 'R1', 'R2', 'R3']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['Og1qOXUzuY', 'B43pxeBBjr', 'Ie1O0J5NJb', 'Ue-aGwahE9']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Fact']","['1247', '1323', '1535', '1610']","['1322', '1534', '1609', '1670']","[""So that's a pretty different intent than how people come to Facebook today."", ""Today, for the most part, people pull Facebook out when they have a few minutes, when they want to catch up and see what's going on in the world with their friends and in the news and everything that's going on."", ""That's very different from saying, hey, I want to watch video content now."", ""And that's what I think we're going to unlock with this tab.""]",2,2,2,1,-1,FB_Q4_2016_17299_ArgQ0,1.0,0,4,4,0,0,0,0,"[15, 47, 17, 15]","[1, 1, 1, 1]",1,88,2016,Q4,4,FB,5,182,94,4,0,1,0,0,0
411,411,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ1,Ld0aGTGc5f,"So, all of the content that is on Facebook is eligible to go in the tab.",CLAIM-Fact,1671,1743,"['R4', 'R5']","['SUPPORT', 'SUPPORT']","['RPg0etjGWr', 'Cp3mrRg_W1']","['PREMISE-Fact', 'PREMISE-Fact']","['1744', '1897']","['1896', '2128']","[""I mean, we're showing video content, not all the rest of it, but there isn't a concrete difference between what can be a News Feed and what can be here."", ""It's just that the experience is designed to deliver on that promise of, you want to watch videos, you want to keep up with the content that you watch episodically week-over-week, this is going to the place where you go to do that.""]",1,2,1,1,-1,FB_Q4_2016_17299_ArgQ1,1.0,0,2,2,0,0,0,0,"[36, 48]","[1, 1]",1,18,2016,Q4,2,FB,3,102,84,2,0,1,0,0,0
412,412,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ2,x1WUbKDOKA,"I do think that it's going to get a lot stronger once the business model really starts to click here, right?",CLAIM-Opinion(view),2129,2237,['R6'],['SUPPORT'],['6nVKjjfhid'],['PREMISE-Fact'],['2238'],['2401'],"['Because a lot of the best episodic content is professionally created, and those folks need to make a good amount of money in order to support their business model.']",1,2,1,0,-1,FB_Q4_2016_17299_ArgQ2,1.0,0,1,1,0,0,0,0,[31],[1],1,24,2016,Q4,1,FB,2,55,31,1,1,0,0,0,0
413,413,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ3,dkcR7BN4-G,"So having mid-roll ads, we're committed to doing this in a way that's very good on the user experience, but that is going to enable the kind of content that I think is going to take us to the next level.",CLAIM-Opinion(view),2402,2605,['R7'],['SUPPORT'],['SNWR2uTTfP'],['PREMISE-Fact'],['2606'],['2830'],"['The early trends are good, but I think this is really going to be an area that is proportional to the amount of quality content that is in the system, and the business model is really going to be the thing that enables that.']",1,1,1,0,-1,FB_Q4_2016_17299_ArgQ3,1.0,0,1,1,0,0,0,0,[47],[1],1,46,2016,Q4,1,FB,2,93,47,1,1,0,0,0,0
414,414,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ4,yGViMqDSYX,"I think that's quite a good result, right, and one that we're very happy with, and just shows how strong of a company Samsung is at being able to build these products and sell them through into the world.",CLAIM-Opinion(view),3191,3395,"['R8', 'R9']","['SUPPORT', 'SUPPORT']","['2fLUo0lHAv', '2uPjUD6Efm']","['PREMISE-Statistic', 'PREMISE-Fact']","['3066', '3111']","['3110', '3190']","['I think Samsung shipping 5 million Gear VRs.', ""I mean, that's their product, not ours, but we build technology that powers it.""]",2,2,1,0,-1,FB_Q4_2016_17299_ArgQ4,1.0,0,2,1,0,0,0,1,"[9, 19]","[1, 1]",1,45,2016,Q4,2,FB,3,73,28,2,1,0,0,0,0
415,415,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ5,DFakCyqzJB,so that was obviously somewhat of a disappointment.,CLAIM-Opinion(view),3482,3533,"['R10', 'R11']","['SUPPORT', 'SUPPORT']","['zyzv1QnLLY', 'fRpXgRXkQO']","['PREMISE-Fact', 'PREMISE-Fact']","['3396', '3534']","['3481', '3645']","['On the side of the products that we built, Rift and Touch were both a little delayed,', 'And if you want to accelerate development, obviously, we need to get our products in the market at a good pace.']",1,2,1,0,-1,FB_Q4_2016_17299_ArgQ5,1.0,0,2,2,0,0,0,0,"[19, 24]","[1, 1]",1,9,2016,Q4,2,FB,3,52,43,2,1,0,0,0,0
416,416,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ6,b9fHgH9mL7,So that's why we're investing so much capital in content to feed the ecosystem and solve this chicken and egg problem if you need the content in order to create the ecosystem.,CLAIM-Fact,4001,4176,"['R12', 'R13']","['SUPPORT', 'SUPPORT']","['Qp4XuG3nUm', 'G8aQIzlg8F']","['PREMISE-Fact', 'PREMISE-Fact']","['3646', '3745']","['3744', '4000']","[""But in terms of the content development, I actually think that that's coming at a reasonable clip."", ""Early on, there is this issue, which is that if you're a AAA game developer, until there's a certain volume of units in the field, you're not going to be able to make enough money to fund your game development just based off of people buying your content.""]",1,2,1,0,-1,FB_Q4_2016_17299_ArgQ6,1.0,0,2,2,0,0,0,0,"[20, 56]","[1, 1]",1,35,2016,Q4,2,FB,3,111,76,2,0,1,0,0,0
417,417,7,FB_Q4_2016_17299_7,FB_Q4_2016_17299,ArgQ7,mq4AC4aENf,"But I don't think that there is really a strategy to pull this in from 10 years to five, I just think it's going to be a 10-year thing.",CLAIM-Opinion(view),4177,4312,"['R14', 'R15']","['SUPPORT', 'SUPPORT']","['fvg0S30jw-', 'Lg8LcEeMtm']","['PREMISE-RealExample', 'PREMISE-Fact']","['4313', '4471']","['4470', '4606']","['The analogy that I always use is the first smartphones came out in 2003, right, the BlackBerry and Palm Treo, and it took 10 years to get to 1 billion units.', ""And, I mean, I don't know if there was something that folks could have done to make that happen fast, but I think that was pretty good.""]",1,1,1,0,-1,FB_Q4_2016_17299_ArgQ7,1.0,0,2,1,0,0,1,0,"[35, 32]","[1, 1]",1,33,2016,Q4,2,FB,3,100,67,2,1,0,0,0,0
418,418,7,FB_Q3_2019_17745_7,FB_Q3_2019_17745,ArgQ0,PzkAHODmv5,"The premium content part of it, yes, I think the right way to think about this is almost as marketing to help people try out the tab for the first time.",CLAIM-Opinion(view),1370,1522,['R0'],['SUPPORT'],['9P4-lYLQp0'],['PREMISE-Fact'],['1523'],['1790'],"[""There are some good tent pole pieces of content that people really love that they come and they check out the product to experience that and then they stay for a lot of the other valuable content that's in there and that might not be talked about as much in the news.""]",1,1,1,1,-1,FB_Q3_2019_17745_ArgQ0,1.0,0,1,1,0,0,0,0,[54],[1],1,34,2019,Q3,1,FB,2,88,54,1,1,0,0,0,0
419,419,7,FB_Q3_2019_17745_7,FB_Q3_2019_17745,ArgQ1,WL5kAGA7IH,"On the 2020 expense outlook, that includes headcount growth and also other expense growth sort of around infrastructure is a big factor as well.",CLAIM-Fact,1882,2026,['R1'],['SUPPORT'],['LDDa1rGsNx'],['PREMISE-Fact'],['2027'],['2140'],"[""We're seeing that large CapEx build over the last several years flowing through depreciation and cost of revenue.""]",2,1,1,1,-1,FB_Q3_2019_17745_ArgQ1,1.0,0,1,1,0,0,0,0,[20],[1],1,26,2019,Q3,1,FB,2,46,20,1,0,1,0,0,0
420,420,7,FB_Q3_2019_17745_7,FB_Q3_2019_17745,ArgQ2,RGa-TihCDc,"So that includes our privacy, safety and security investments.",CLAIM-Fact,2326,2388,['R2'],['SUPPORT'],['KNMTWdkwK1'],['PREMISE-Fact'],['2389'],['2513'],['So we are investing a lot in privacy related to building the products and also working on complying with the FTC settlement.'],2,1,1,1,-1,FB_Q3_2019_17745_ArgQ2,1.0,0,1,1,0,0,0,0,[23],[1],1,11,2019,Q3,1,FB,2,34,23,1,0,1,0,0,0
421,421,7,FB_Q3_2019_17745_7,FB_Q3_2019_17745,ArgQ3,vtOm-Ch2R8,And then we're continuing to invest heavily in our innovation investments.,CLAIM-Fact,2514,2588,['R3'],['SUPPORT'],['5rV5D5Bxri'],['PREMISE-Fact'],['2589'],['2727'],['That includes building products around Facebook and Instagram and continuing to improve those but also in new developing areas like AR/VR.'],1,1,1,1,-1,FB_Q3_2019_17745_ArgQ3,1.0,0,1,1,0,0,0,0,[22],[1],1,13,2019,Q3,1,FB,2,35,22,1,0,1,0,0,0
422,422,5,AAPL_Q4_2015_17574_5,AAPL_Q4_2015_17574,ArgQ0,nUl-JYSzDb,"If you look at iPhone 6 today, and add iPhone 6 Plus and compare that to last year’s 5s we are doing better, at that price point than we were previously.",CLAIM-Fact,663,816,['R0'],['SUPPORT'],['3IJQImN8He'],['PREMISE-Fact'],['561'],['625'],['The iPhone 6s is the most popular iPhone that we currently sell.'],1,1,1,1,3,AAPL_Q4_2015_17574_ArgQ0,1.0,0,1,1,0,0,0,0,[13],[1],1,36,2015,Q4,1,AAPL,2,49,13,1,0,1,0,0,0
423,423,9,MSFT_Q2_2015_17130_9,MSFT_Q2_2015_17130,ArgQ0,jiJt_fS5Pw,"As I said in my remarks, I am very optimistic about what Windows 10 means for our customers, partners and Microsoft.",CLAIM-Opinion(view),480,596,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['5YsO3AiJLW', 'MdvhfU9-Sz']","['PREMISE-Fact', 'PREMISE-RealExample']","['597', '749']","['748', '935']","['The core idea of Windows 10 is to build a device operating system that spans the gamut from no screens to small screens, to PCs and even large screens.', ""In fact if you look at our innovation, we're perhaps unique in the large screen innovation that we're doing with Surface Hub, Hollow Lands as well as some of the two-in-one form factors.""]",2,1,1,0,-1,MSFT_Q2_2015_17130_ArgQ0,1.0,0,2,1,0,0,1,0,"[31, 38]","[1, 1]",1,24,2015,Q2,2,MSFT,3,93,69,2,1,0,0,0,0
424,424,9,MSFT_Q2_2015_17130_9,MSFT_Q2_2015_17130,ArgQ1,YvlEKjU8i1,So overall I think the most strategic objective for us is to get developer momentum with Windows 10 and that's where we're focusing on with a lot of different actions.,CLAIM-Opinion(view),936,1103,"['R2', 'R3', 'R4', 'R5']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['-ZkkDJzqdg', 'a_yLXTVO3y', 'otfBD0SUpl', 'IbISW6J94T']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-RealExample', 'PREMISE-Fact']","['1104', '1241', '1315', '1560']","['1240', '1314', '1559', '1828']","['One is the one unified developer platform, which I think is perhaps the most strategic piece of Windows 10 along with the unified store.', ""And now couple that with the call we've made to provide an upgrade offer."", ""We're creating great opportunity for every developer to write these universal windows application that will run on the desktop as well as on our phone and tablets, as well as on Surface Hub and in fact Hollow Lands runs universal applications.`"", ""No one else provides that kind of a unified market place for developers and especially the changes we've made to the desktop user interface means these universal applications are in fact very naturally discoverable right where we have high usage, which is the desktop.""]",2,2,2,1,-1,MSFT_Q2_2015_17130_ArgQ1,1.0,0,4,3,0,0,1,0,"[26, 16, 44, 47]","[1, 1, 1, 1]",1,33,2015,Q2,4,MSFT,5,166,133,4,1,0,0,0,0
425,425,6,MSFT_Q1_2016_17155_6,MSFT_Q1_2016_17155,ArgQ0,T_S65O4T4m,So we don't think of our server as a legacy business.,CLAIM-Opinion(view),2051,2104,"['R0', 'R1', 'R2', 'R3', 'R4', 'R5']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['P19QvW5Qdq', 'MsGOR7k2nT', '1rBMHGE4Dm', 'ib3hpcXxo_', '_u4n3fsR7W', 'lKESkYaStI']","['PREMISE-Fact', 'PREMISE-RealExample', 'PREMISE-Fact', 'PREMISE-RealExample', 'PREMISE-Fact', 'PREMISE-Fact']","['1126', '1347', '1393', '1484', '1790', '1941']","['1346', '1392', '1483', '1789', '1940', '2050']","['Overall what we have seen is the public cloud or cloud infrastructure makes it much more possible for businesses of all sizes and developers of all sizes to get at infrastructure with much less friction than ever before.', 'I grew up in our server business in the past.', 'We were definitely the one to democratize servers by bringing servers to small businesses.', ""But when I think about what's happening for example in Office 365, where we are adding 50,000 small business customers who now get the most sophisticated server technology, but now as a SaaS service, that's what's really happening world over with all application categories and that's where the growth is."", ""I don't know long-term whether there is a zero-sum equation, but right now and in the intermediate timeframe, we see in our case growth in both sides."", 'And in our case the vision also we have for distributed cloud infrastructure is just that, it is distributed.']",2,2,2,0,-1,MSFT_Q1_2016_17155_ArgQ0,1.0,0,6,4,0,0,2,0,"[39, 11, 15, 58, 31, 21]","[1, 1, 1, 1, 1, 1]",1,13,2016,Q1,6,MSFT,7,188,175,6,1,0,0,0,0
426,426,6,MSFT_Q1_2016_17155_6,MSFT_Q1_2016_17155,ArgQ1,UK_1prsxI8,Those are the kinds of things that we are excited about.,CLAIM-Opinion(view),2312,2368,['R6'],['SUPPORT'],['OcMbbQETH_'],['PREMISE-RealExample'],['2145'],['2311'],"['If you look at what we are doing with SQL, we will have the ability for any customer of SQL to stretch even a single table from between their on-premise to the cloud.']",1,1,0,0,-1,MSFT_Q1_2016_17155_ArgQ1,1.0,0,1,0,0,0,1,0,[35],[1],1,12,2016,Q1,1,MSFT,2,47,35,1,1,0,0,0,0
427,427,6,MSFT_Q1_2016_17155_6,MSFT_Q1_2016_17155,ArgQ2,LvwMt11KKc,But in our case there are two unique aspects.,CLAIM-Fact,2446,2491,"['R7', 'R8', 'R9']","['SUPPORT', 'SUPPORT', 'SUPPORT']","['aAnwiAu0St', 'vANlGPtK-e', 'Ux8DdC8Q-t']","['PREMISE-RealExample', 'PREMISE-RealExample', 'PREMISE-Fact']","['2492', '2529', '2581']","['2528', '2580', '2842']","['One is this true distributed hybrid.', ""And second is we don't think of Azure in isolation."", ""We think about it in the combination of Office 365, Dynamics, EMS, because really it's one cloud infrastructure first of all from a capital perspective that sort of serves all of these and there's a virtuous cycle between all of these for our customers as well.""]",2,1,1,1,-1,MSFT_Q1_2016_17155_ArgQ2,1.0,0,3,1,0,0,2,0,"[7, 12, 52]","[1, 1, 1]",1,10,2016,Q1,3,MSFT,4,81,71,3,0,1,0,0,0
428,428,7,FB_Q1_2018_17673_7,FB_Q1_2018_17673,ArgQ0,C99ufRsUN1,"When you think about the way people have the choice to restrict data use, I think it would affect the product.",CLAIM-Opinion(view),678,788,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['HOXK3p0Aha', '5qvGwMIes4']","['PREMISE-Fact', 'PREMISE-Fact']","['789', '851']","['850', '888']","['There is lots of ways we use data to make the product better.', 'It really depends what that would be.']",1,0,0,0,-1,FB_Q1_2018_17673_ArgQ0,1.0,0,2,2,0,0,0,0,"[14, 8]","[1, 1]",1,23,2018,Q1,2,FB,3,45,22,2,1,0,0,0,0
429,429,7,FB_Q1_2018_17673_7,FB_Q1_2018_17673,ArgQ1,IFi7_iClpv,"And so we think that certainly we want to provide the best advertising, we certainly want to provide the best measurement, but our ability to do so as long as things happen across the industry, which is what's happening, I think we remain in a very strong position.",CLAIM-Opinion(view),1636,1901,"['R2', 'R3']","['SUPPORT', 'SUPPORT']","['HKKY6qLXa9', 'azvz_a2F0Y']","['PREMISE-Fact', 'PREMISE-Fact']","['1394', '1550']","['1549', '1635']","[""We're going to all know a lot more after we roll out, but the thing that won't change is that advertisers are going to look at the highest ROI opportunity."", ""And what's most important in winning budgets is relative performance in the industry.""]",0,1,1,0,-1,FB_Q1_2018_17673_ArgQ1,1.0,0,2,2,0,0,0,0,"[34, 15]","[1, 1]",1,54,2018,Q1,2,FB,3,103,49,2,1,0,0,0,0
430,430,7,FB_Q1_2018_17673_7,FB_Q1_2018_17673,ArgQ2,ZhqLtE3bYt,"In terms of measurement capabilities, I don't think there's a direct thing we're exactly worried about right now.",CLAIM-Opinion(view),980,1093,"['R4', 'R5']","['SUPPORT', 'SUPPORT']","['e9Ox6DSx_V', 'xGwzP8fIeM']","['PREMISE-Fact', 'PREMISE-Fact']","['1094', '1137']","['1136', '1393']","[""It's more what happens over the long time."", ""The way we think about it, and Dave said this, is that the amount of uncertainty there is for us and all the other companies in the digital advertising industry is reasonably higher than it's been right now because we're in the process of rolling out GDPR.""]",1,1,1,0,-1,FB_Q1_2018_17673_ArgQ2,1.0,0,2,2,0,0,0,0,"[10, 52]","[1, 1]",1,23,2018,Q1,2,FB,3,85,62,2,1,0,0,0,0
431,431,7,FB_Q1_2018_17668_7,FB_Q1_2018_17668,ArgQ0,xwMDLSoNWf,I would note that Mark talked about some of the changes we're making to focus on connections over consumption.,CLAIM-Fact,702,812,"['R0', 'R1', 'R2', 'R3']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['2Y0n7xXjDM', 'xuQMhhZehF', 'WcnHT9GZuN', 'w8eN_piEP9']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Fact']","['813', '964', '1089', '1211']","['963', '1088', '1210', '1261']","[""So we're seeing a decrease in certain types of time spent such as passive video consumption as a result of that and an increase in areas like sharing."", ""So, we're not really optimizing the business on time spent, but rather the kind of quality of conversations and connections."", ""So we're continuing to invest in that work, and we think it's the right thing for the Facebook community in the long run."", ""And I think it's also good for overall engagement.""]",0,2,1,0,-1,FB_Q1_2018_17668_ArgQ0,1.0,0,4,4,0,0,0,0,"[30, 24, 27, 11]","[1, 1, 1, 1]",1,21,2018,Q1,4,FB,5,113,92,4,0,1,0,0,0
432,432,7,AAPL_Q4_2017_18839_7,AAPL_Q4_2017_18839,ArgQ0,HQ585Qngjn,"Michael, we never go through mix, but I would share with you that the iPhone X orders are very strong for both direct customers and for our channel partners, which as you know, are lots of carriers throughout the world.",CLAIM-Fact,283,502,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['WY7U7V2q-G', 'tKM8G9lgvU']","['PREMISE-Other', 'PREMISE-Other']","['552', '627']","['626', '757']","['And I think as of a few minutes ago, the first sales started in Australia.', ""And I'm told we had several hundred people waiting at the store in Sydney and I'm getting similar reports from across that region.""]",1,1,1,0,-1,AAPL_Q4_2017_18839_ArgQ0,1.0,0,2,0,0,2,0,0,"[17, 26]","[1, 1]",1,45,2017,Q4,2,AAPL,3,88,43,2,0,1,0,0,0
433,433,7,AAPL_Q4_2017_18839_7,AAPL_Q4_2017_18839,ArgQ1,Q6VLZyUA-U,And the software team worked really hard to make that go back several versions of iPhone so that we sort of have hundreds of millions of enabled devices overnight.,CLAIM-Fact,2281,2444,"['R2', 'R3']","['SUPPORT', 'SUPPORT']","['_wDfLYHH2R', 'lNLtg5533s']","['PREMISE-Fact', 'PREMISE-Statistic']","['2047', '2445']","['2280', '2498']","['And of course, Apple is the only company that could have brought this because it requires both hardware and software integration, and it requires sort of making a lot of – or giving the operating system update to many people at once.', ""And so there's 1,000-plus in the App Store right now.""]",1,2,1,1,-1,AAPL_Q4_2017_18839_ArgQ1,1.0,0,2,1,0,0,0,1,"[45, 12]","[1, 1]",1,30,2017,Q4,2,AAPL,3,87,57,2,0,1,0,0,0
434,434,7,AAPL_Q4_2017_18839_7,AAPL_Q4_2017_18839,ArgQ2,d_Urlw9xxh,The reason I'm so excited about AR is I view that it amplifies human performance instead of isolates humans.,CLAIM-Opinion(view),1103,1211,['R4'],['SUPPORT'],['_N32UexYgB'],['PREMISE-Fact'],['1212'],['1368'],"[""And so as you know, it's the mix of the virtual and the physical world and so it should be a help for humanity, not an isolation kind of thing for humanity.""]",1,1,1,0,-1,AAPL_Q4_2017_18839_ArgQ2,1.0,0,1,1,0,0,0,0,[36],[1],1,21,2017,Q4,1,AAPL,2,57,36,1,1,0,0,0,0
435,435,7,AAPL_Q4_2017_18839_7,AAPL_Q4_2017_18839,ArgQ3,1ubs2cXOBR,"As I go through different countries as I've been traveling lately, and looking at some things in the market, other things that are coming, the very cool thing is they're all over the place.",CLAIM-Fact,1369,1558,"['R5', 'R6', 'R7', 'R8']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['lZqKuRAGNT', '4oM5UsbYsE', 'l0xjgfWkDi', 'vt8kj_TDT_']","['PREMISE-Other', 'PREMISE-Other', 'PREMISE-Other', 'PREMISE-Other']","['1559', '1645', '1730', '1851']","['1644', '1729', '1769', '1993']","[""I see things that the consumer's going to love because it's going to change shopping."", 'I see things that consumers will love on the gaming side and the entertainment side.', 'I see business-related AR apps as well.', 'And I see apps that makes me want to go back to K-12 again and repeat my schooling because I think it changes the game in the classroom a lot.']",1,2,1,0,-1,AAPL_Q4_2017_18839_ArgQ3,1.0,0,4,0,0,4,0,0,"[18, 16, 8, 31]","[1, 1, 1, 1]",1,40,2017,Q4,4,AAPL,5,113,73,4,0,1,0,0,0
